seed,schemes_planted,schemes_found,recall_pct,decoys_planted,decoys_accused,false_accusation_rate_pct,peso_claimed,peso_actual,peso_reconciles,llm_calls,mxn_cost,wall_clock_s
301,5,5,100.0,7,0,0.0,3594976.32,3594976.32,yes,0,0.0,0.053
302,3,3,100.0,5,0,0.0,1530628.44,1530628.44,yes,0,0.0,0.055
303,3,3,100.0,10,0,0.0,3956375.31,3956375.31,yes,0,0.0,0.058
304,4,4,100.0,9,0,0.0,2785203.1,2785203.1,yes,0,0.0,0.059
305,4,4,100.0,4,0,0.0,1996342.67,1996342.67,yes,0,0.0,0.052
306,3,3,100.0,6,0,0.0,2278341.78,2278341.78,yes,0,0.0,0.054
TOTAL,22,22,100.0,41,0,0.0,16141867.62,16141867.62,yes,0,0.0,0.331
