seed,schemes_planted,schemes_found,recall_pct,decoys_planted,decoys_accused,false_accusation_rate_pct,peso_claimed,peso_actual,peso_reconciles,llm_calls,mxn_cost,wall_clock_s
10101,5,4,80.0,10,0,0.0,2036259.81,2036259.81,yes,0,0.0,0.057
10102,5,5,100.0,10,0,0.0,2436499.75,2436499.75,yes,0,0.0,0.054
10103,5,5,100.0,10,0,0.0,2859800.68,2859800.68,yes,0,0.0,0.055
10104,5,5,100.0,10,0,0.0,2845223.38,2845223.38,yes,0,0.0,0.053
10105,5,5,100.0,10,0,0.0,3722901.47,3722901.47,yes,0,0.0,0.053
TOTAL,25,24,96.0,50,0,0.0,13900685.09,13900685.09,yes,0,0.0,0.272
