seed,schemes_planted,schemes_found,recall_pct,decoys_planted,decoys_accused,false_accusation_rate_pct,peso_claimed,peso_actual,peso_reconciles,llm_calls,mxn_cost,wall_clock_s
103,10,10,100.0,10,0,0.0,4022064.36,4022064.35,yes,0,0.0,0.257
TOTAL,10,10,100.0,10,0,0.0,4022064.36,4022064.35,yes,0,0.0,0.257
